1	H	Hydrogen	1	1	1.008	0.00008988
2	He	Helium	18	1	4.002602	0.0001785
3	Li	Lithium	1	2	6.94	0.534
4	Be	Beryllium	2	2	9.0121831	1.85
5	B	Boron	13	2	10.81	2.34
6	C	Carbon	14	2	12.011	2.267
7	N	Nitrogen	15	2	14.007	0.0012506
8	O	Oxygen	16	2	15.999	0.001429
9	F	Fluorine	17	2	18.998403163	0.001696
10	Ne	Neon	18	2	20.1797	0.0008999
11	Na	Sodium	1	3	22.98976928	0.971
12	Mg	Magnesium	2	3	24.305	1.738
13	Al	Aluminium	13	3	26.9815385	2.698
14	Si	Silicon	14	3	28.085	2.3296
15	P	Phosphorus	15	3	30.973761998	1.82
16	S	Sulfur	16	3	32.06	2.067
17	Cl	Chlorine	17	3	35.45	0.003214
18	Ar	Argon	18	3	39.948	0.0017837
19	K	Potassium	1	4	39.0983	0.862
20	Ca	Calcium	2	4	40.078	1.54
21	Sc	Scandium	3	4	44.955908	2.989
22	Ti	Titanium	4	4	47.867	4.54
23	V	Vanadium	5	4	50.9415	6.11
24	Cr	Chromium	6	4	51.9961	7.15
25	Mn	Manganese	7	4	54.938044	7.44
26	Fe	Iron	8	4	55.845	7.874
27	Co	Cobalt	9	4	58.933194	8.86
28	Ni	Nickel	10	4	58.6934	8.912
29	Cu	Copper	11	4	63.546	8.96
30	Zn	Zinc	12	4	65.38	7.134
31	Ga	Gallium	13	4	69.723	5.907
32	Ge	Germanium	14	4	72.63	5.323
33	As	Arsenic	15	4	74.921595	5.776
34	Se	Selenium	16	4	78.971	4.809
35	Br	Bromine	17	4	79.904	3.122
36	Kr	Krypton	18	4	83.798	0.003733
37	Rb	Rubidium	1	5	85.4678	1.532
38	Sr	Strontium	2	5	87.62	2.64
39	Y	Yttrium	3	5	88.90584	4.469
40	Zr	Zirconium	4	5	91.224	6.506
41	Nb	Niobium	5	5	92.90637	8.57
42	Mo	Molybdenum	6	5	95.95	10.22
43	Tc	Technetium	7	5	98	11.5
44	Ru	Ruthenium	8	5	101.07	12.37
45	Rh	Rhodium	9	5	102.9055	12.41
46	Pd	Palladium	10	5	106.42	12.02
47	Ag	Silver	11	5	107.8682	10.501
48	Cd	Cadmium	12	5	112.414	8.69
49	In	Indium	13	5	114.818	7.31
50	Sn	Tin	14	5	118.71	7.287
51	Sb	Antimony	15	5	121.76	6.685
52	Te	Tellurium	16	5	127.6	6.232
53	I	Iodine	17	5	126.90447	4.93
54	Xe	Xenon	18	5	131.293	0.005887
55	Cs	Caesium	1	6	132.90545196	1.873
56	Ba	Barium	2	6	137.327	3.594
57	La	Lanthanum	0	6	138.90547	6.145
58	Ce	Cerium	0	6	140.116	6.77
59	Pr	Praseodymium	0	6	140.90766	6.773
60	Nd	Neodymium	0	6	144.242	7.007
61	Pm	Promethium	0	6	145	7.26
62	Sm	Samarium	0	6	150.36	7.52
63	Eu	Europium	0	6	151.964	5.243
64	Gd	Gadolinium	0	6	157.25	7.895
65	Tb	Terbium	0	6	158.92535	8.229
66	Dy	Dysprosium	0	6	162.5	8.55
67	Ho	Holmium	0	6	164.93033	8.795
68	Er	Erbium	0	6	167.259	9.066
69	Tm	Thulium	0	6	168.93422	9.321
70	Yb	Ytterbium	0	6	173.045	6.965
71	Lu	Lutetium	3	6	174.9668	9.84
72	Hf	Hafnium	4	6	178.49	13.31
73	Ta	Tantalum	5	6	180.94788	16.654
74	W	Tungsten	6	6	183.84	19.25
75	Re	Rhenium	7	6	186.207	21.02
76	Os	Osmium	8	6	190.23	22.61
77	Ir	Iridium	9	6	192.217	22.56
78	Pt	Platinum	10	6	195.084	21.46
79	Au	Gold	11	6	196.966569	19.282
80	Hg	Mercury	12	6	200.592	13.5336
81	Tl	Thallium	13	6	204.38	11.85
82	Pb	Lead	14	6	207.2	11.342
83	Bi	Bismuth	15	6	208.9804	9.807
84	Po	Polonium	16	6	209	9.32
85	At	Astatine	17	6	210	7
86	Rn	Radon	18	6	222	0.00973
87	Fr	Francium	1	7	223	1.87
88	Ra	Radium	2	7	226	5.5
89	Ac	Actinium	0	7	227	10.07
90	Th	Thorium	0	7	232.0377	11.72
91	Pa	Protactinium	0	7	231.03588	15.37
92	U	Uranium	0	7	238.02891	18.95
93	Np	Neptunium	0	7	237	20.45
94	Pu	Plutonium	0	7	244	19.84
95	Am	Americium	0	7	243	13.69
96	Cm	Curium	0	7	247	13.51
97	Bk	Berkelium	0	7	247	14.79
98	Cf	Californium	0	7	251	15.1
99	Es	Einsteinium	0	7	252	8.84
100	Fm	Fermium	0	7	257	9.7
101	Md	Mendelevium	0	7	258	10.3
102	No	Nobelium	0	7	259	9.9
103	Lr	Lawrencium	3	7	266	15.6
104	Rf	Rutherfordium	4	7	267	23.2
105	Db	Dubnium	5	7	268	29.3
106	Sg	Seaborgium	6	7	269	35
107	Bh	Bohrium	7	7	270	37.1
108	Hs	Hassium	8	7	269	40.7
109	Mt	Meitnerium	9	7	278	37.4
110	Ds	Darmstadtium	10	7	281	34.8
111	Rg	Roentgenium	11	7	282	28.7
112	Cn	Copernicium	12	7	285	23.7
113	Uut	Ununtrium	13	7	286	16
114	Fl	Flerovium	14	7	289	14
115	Uup	Ununpentium	15	7	289	13.5
116	Lv	Livermorium	16	7	293	12.9
117	Uus	Ununseptium	17	7	294	7.2
118	Uuo	Ununoctium	18	7	294	5

